#OTU ID	TestBx10_S39	TestBx11_S40	TestBx12_S41	TestBx13_S42	TestBx15_S43	TestBx16_S44	TestBx17_S45	TestBx18_S46	TestBx19_S47	TestBx20_S49	TestBx21_S50	TestBx22_S51	TestBx24_S52	TestBx25_S53	TestBx26_S54	TestBx27_S55	TestBx29_S56	TestBx2_S48	TestBx32_S58	TestBx33_S59	TestBx3_S57	TestBx4_S60	TestBx9_S61	TestFA10_S62	TestFA11_S63	TestFA12_S64	TestFA13_S65	TestFA15_S66	TestFA16_S67	TestFA17_S68	TestFA18_S69	TestFA19_S70	TestFA20_S72	TestFA21_S73	TestFA22_S74	TestFA24_S75	TestFA25_S76	TestFA26_S77	TestFA27_S78	TestFA29_S79	TestFA2_S71	TestFA32_S81	TestFA33_S82	TestFA3_S80	TestFA4_S83	TestFA9_S84
Human Diseases;Infectious Diseases;Vibrio cholerae infection	1.7056E-06	1.29514E-06	1.8017E-06	1.14947E-07	1.49135E-07	5.87112E-08	3.59609E-08	2.58563E-07	2.24899E-07	4.92199E-07	2.2057E-07	3.20321E-07	5.56273E-08	1.80725E-07	1.91904E-07	9.35191E-07	6.00571E-07	9.95488E-08	5.06812E-07	2.00474E-07	7.60044E-07	3.32572E-07	1.94812E-05	0	1.30597E-08	0	0	0	0	0	3.6427E-08	1.64985E-08	0	0	0	0	1.54205E-07	1.81539E-08	1.30796E-08	6.73196E-08	0	1.71541E-08	0	4.27692E-08	0	0
Human Diseases;Infectious Diseases;Vibrio cholerae pathogenic cycle	0.000799877	0.000824057	0.000875692	0.000852974	0.000770916	0.000977629	0.000813435	0.000797754	0.000978833	0.000738749	0.000742218	0.000810221	0.000853323	0.000836045	0.000957792	0.000809179	0.000722058	0.000662179	0.000743155	0.000789095	0.000834818	0.000787446	0.000699251	0.000694725	0.00082868	0.000825363	0.00078166	0.000671357	0.000903721	0.000777458	0.000745989	0.000928652	0.000715093	0.000703679	0.000747037	0.000843998	0.00070171	0.000908859	0.000808685	0.000681476	0.000566007	0.000724399	0.000766283	0.000822138	0.000801906	0.000696837
Human Diseases;Metabolic Diseases;Type I diabetes mellitus	0.000490439	0.00053252	0.000512955	0.000521056	0.00044953	0.000504153	0.000561979	0.000516739	0.00048668	0.000497121	0.000468995	0.00053468	0.000627059	0.000513723	0.000536635	0.000525751	0.000622621	0.000521058	0.000721869	0.000644238	0.000557149	0.000509624	0.000523506	0.000518049	0.000563567	0.000478332	0.000544164	0.000521057	0.00055804	0.000583243	0.000526316	0.000553607	0.00053081	0.000525653	0.000597986	0.00048661	0.000593859	0.000541296	0.000499287	0.000579302	0.000487625	0.000621612	0.000579053	0.000547232	0.000555143	0.000499558
Human Diseases;Metabolic Diseases;Type II diabetes mellitus	0.000451882	0.000451487	0.000438788	0.000460939	0.00044349	0.000428386	0.000470854	0.000430637	0.000433155	0.000476612	0.000447851	0.000461135	0.000468521	0.000460396	0.000477937	0.000485755	0.000467158	0.000408488	0.00052531	0.000483572	0.000442816	0.000431304	0.000429312	0.000458448	0.000461623	0.000504404	0.000473594	0.000451935	0.000432892	0.000482691	0.000420677	0.000457718	0.000484756	0.000489421	0.000486998	0.000510908	0.000485067	0.000564225	0.000491296	0.000467551	0.000506589	0.000494946	0.000497805	0.000424014	0.000442074	0.00045002
Human Diseases;Neurodegenerative Diseases;Alzheimer's disease	0.000517728	0.000457186	0.000552824	0.000466834	0.000444795	0.000430074	0.000501007	0.000487219	0.000450622	0.000441953	0.000490138	0.000441018	0.000456589	0.000462552	0.000386422	0.000468857	0.000548922	0.0006353	0.000460016	0.000490274	0.000466595	0.000406777	0.000735415	0.000450391	0.000450025	0.000484899	0.000474263	0.000497357	0.000415859	0.000495198	0.000482622	0.000480453	0.000412279	0.000510287	0.000444836	0.000451412	0.000509956	0.000387042	0.000458518	0.000533019	0.00049169	0.000460106	0.0004913	0.000462834	0.000426644	0.000553588
Human Diseases;Neurodegenerative Diseases;Amyotrophic lateral sclerosis (ALS)	0.000131021	0.000120621	0.00012164	5.76214E-05	4.53743E-05	0.000166578	0.000159738	0.000141607	0.000180968	0.000114559	7.50883E-05	0.000113202	0.000107917	0.000372125	0.000231508	0.000162201	0.000151001	0.000111475	0.000159646	0.000122432	0.000140572	0.000151237	0.000257504	9.38245E-05	9.52185E-05	5.38029E-05	7.48828E-05	4.80932E-05	0.000165881	0.000138137	0.000126238	0.000162065	0.000166082	6.15222E-05	0.000134667	0.00015327	0.00011863	0.000292061	0.000117102	0.000133528	3.59332E-05	0.000139119	0.000110905	0.000147924	0.00010703	7.41136E-05
Human Diseases;Neurodegenerative Diseases;Huntington's disease	0.00025858	0.000250999	0.000330934	0.000188136	9.92867E-05	0.000277102	0.000313921	0.000348112	0.000373257	0.00015734	0.000167791	0.000228133	0.000295937	0.00043738	0.000340677	0.000250675	0.000363345	0.000550923	0.000370226	0.000369388	0.000339667	0.00023226	0.00063459	0.000214091	0.00023642	7.23973E-05	0.000241391	0.000238769	0.000350974	0.000306954	0.000375963	0.000365195	0.000229615	0.000148033	0.00027626	0.000194492	0.000357154	0.000377711	0.000183991	0.000336127	5.80069E-05	0.000297023	0.000260297	0.00038652	0.000231912	0.000351355
Human Diseases;Neurodegenerative Diseases;Parkinson's disease	6.56916E-05	1.0318E-05	5.38196E-05	2.36463E-06	4.84689E-06	1.55585E-06	4.39082E-05	7.45524E-06	3.29851E-06	1.18948E-05	4.23809E-05	7.23926E-06	5.56273E-07	1.48452E-06	1.63118E-06	6.56808E-06	5.28503E-05	8.46762E-05	7.43324E-06	1.94746E-06	1.88563E-05	5.529E-06	0.000206003	7.53082E-07	2.35075E-07	0	3.86607E-07	6.64067E-07	3.0148E-07	3.62221E-05	3.27843E-07	4.94955E-08	4.08399E-08	2.80591E-05	1.06023E-07	0	1.2799E-06	7.26158E-08	2.35433E-07	4.35053E-05	1.61412E-06	4.80314E-07	2.597E-07	8.62512E-06	8.77724E-08	3.22287E-06
Human Diseases;Neurodegenerative Diseases;Prion diseases	5.95411E-05	6.87721E-05	6.04313E-05	2.43031E-05	3.36672E-05	0.000123205	7.95095E-05	0.000103555	0.000151507	4.43799E-05	4.80212E-05	5.53515E-05	7.70995E-05	8.7006E-06	0.000137307	5.62202E-05	2.70257E-05	3.20348E-05	2.96485E-05	3.89493E-05	6.17807E-05	7.7988E-05	5.77183E-05	4.68346E-05	6.04927E-05	5.23426E-05	3.36348E-05	2.10288E-05	0.000101398	5.02149E-05	8.09773E-05	0.000113988	6.63376E-05	2.5194E-05	4.81874E-05	0.000150338	3.28302E-05	0.00016983	4.87346E-05	2.95533E-05	3.26543E-05	3.82021E-05	2.76061E-05	7.6286E-05	5.34358E-05	2.75997E-05
"Metabolism;Amino Acid Metabolism;Alanine, aspartate and glutamate metabolism"	0.010749077	0.011236625	0.011054964	0.01156762	0.010332674	0.011181716	0.011600247	0.010954552	0.010576377	0.010959214	0.010528021	0.011432076	0.012407449	0.008730835	0.010810665	0.01102916	0.011865224	0.010694964	0.012893715	0.012189342	0.011177826	0.010906351	0.010707098	0.011092594	0.011499308	0.011173626	0.011721597	0.010935992	0.011374708	0.011735418	0.010926046	0.011440182	0.011181865	0.011291224	0.012019096	0.011170931	0.011747304	0.010871926	0.010908096	0.011483724	0.010895857	0.011959295	0.011866967	0.010837161	0.011430384	0.011058436
Metabolism;Amino Acid Metabolism;Amino acid related enzymes	0.01435767	0.014396474	0.014139507	0.014602211	0.014410922	0.013692161	0.014782876	0.014212537	0.013570901	0.014452635	0.014406081	0.014072485	0.014803234	0.01422693	0.013374044	0.014352784	0.015051511	0.014442677	0.014989635	0.014979798	0.014060167	0.013747883	0.014070404	0.01445084	0.014607825	0.014692355	0.014878644	0.014723006	0.013897128	0.01493533	0.01411953	0.01408062	0.014040561	0.015159662	0.014330958	0.014438954	0.014834488	0.013330877	0.014302239	0.015018068	0.015924274	0.01496846	0.014732818	0.013918482	0.014239065	0.014447952
Metabolism;Amino Acid Metabolism;Arginine and proline metabolism	0.012534018	0.012519465	0.012980271	0.012970584	0.012285113	0.012219347	0.012557328	0.012432759	0.01215614	0.01230267	0.012485957	0.012900941	0.013137308	0.01481151	0.012087161	0.012387513	0.012937158	0.01307412	0.013327968	0.013459173	0.012775258	0.012469936	0.012808996	0.0126813	0.012674227	0.012802555	0.013124445	0.012904125	0.012403226	0.012691276	0.012662668	0.012712959	0.012445042	0.012875193	0.013196214	0.012237708	0.013285592	0.011733312	0.012418057	0.01286258	0.011758253	0.012845885	0.013531551	0.012596158	0.012802407	0.013540558
Metabolism;Amino Acid Metabolism;Cysteine and methionine metabolism	0.009619399	0.010126126	0.0102903	0.010269832	0.009643894	0.010258967	0.009849437	0.009858373	0.010056862	0.009827075	0.009705075	0.009981661	0.010072493	0.011437264	0.009265191	0.009461236	0.009497001	0.009206928	0.009593694	0.0097073	0.009612279	0.009906474	0.009277924	0.009916758	0.00995946	0.010625741	0.010126902	0.009563011	0.009574786	0.009759431	0.009503189	0.00995685	0.009652683	0.01008728	0.009910126	0.01051506	0.009770983	0.009218791	0.00966768	0.009670337	0.011013104	0.01003804	0.010048809	0.009272891	0.01003749	0.010035503
"Metabolism;Amino Acid Metabolism;Glycine, serine and threonine metabolism"	0.00812834	0.008448742	0.008169418	0.008639749	0.007725942	0.00834058	0.008488515	0.008580209	0.007948138	0.008165781	0.008050517	0.008457636	0.008674551	0.008581556	0.008297827	0.008412866	0.008597174	0.008752807	0.009019054	0.008817109	0.008757266	0.008876542	0.00879193	0.008027035	0.008525814	0.00810052	0.008674926	0.00823892	0.008622443	0.008755072	0.008787034	0.007924515	0.00849004	0.008122028	0.008531247	0.008213404	0.008509648	0.007865324	0.00849767	0.008601723	0.009014121	0.008857789	0.008751635	0.00880598	0.00894913	0.008771938
Metabolism;Amino Acid Metabolism;Histidine metabolism	0.006447286	0.006393564	0.006309155	0.006391708	0.006389058	0.006302819	0.006479254	0.006173501	0.006048795	0.006628891	0.006253125	0.006586063	0.006885688	0.006923627	0.005967035	0.006297182	0.00684651	0.006126551	0.007357134	0.006890868	0.006297618	0.006130582	0.006506412	0.006697832	0.006462389	0.006499552	0.006663513	0.006643285	0.006428937	0.006544086	0.006101252	0.006478602	0.00669137	0.006775745	0.007023709	0.006532	0.006927905	0.006416984	0.006148431	0.006693617	0.00653271	0.006989112	0.006823429	0.006098718	0.006418459	0.006416055
Metabolism;Amino Acid Metabolism;Lysine biosynthesis	0.008485793	0.009300256	0.009281728	0.009435381	0.008136064	0.009350574	0.009030176	0.009009165	0.008699824	0.008662082	0.009147537	0.009075792	0.009305504	0.007764526	0.00811372	0.008626372	0.008597432	0.008067593	0.008659471	0.008728156	0.008814884	0.009087184	0.007984704	0.008943895	0.009247979	0.010168504	0.009294969	0.008234006	0.008642943	0.008802424	0.008645078	0.008766467	0.008871267	0.009417088	0.008998171	0.009904866	0.008469708	0.008002695	0.00892107	0.008797774	0.01066977	0.009140317	0.00934362	0.008303741	0.009395803	0.0090669
Metabolism;Amino Acid Metabolism;Lysine degradation	0.001263439	0.001136791	0.001314232	0.001089684	0.000802794	0.001129133	0.001147584	0.001269201	0.001226372	0.000905482	0.001164546	0.001124392	0.001081812	0.001641806	0.001498265	0.00115222	0.001190932	0.00167672	0.001196667	0.001398021	0.00144792	0.001116276	0.002489035	0.001070106	0.001119872	0.000837474	0.001142364	0.001169791	0.001238867	0.001200672	0.001411328	0.001185962	0.001094427	0.001036327	0.001148721	0.000892107	0.001317234	0.001582679	0.001080414	0.001220167	0.00063238	0.001132494	0.001290344	0.001551382	0.001114674	0.001603497
Metabolism;Amino Acid Metabolism;Phenylalanine metabolism	0.001752534	0.001848429	0.001875421	0.001741435	0.001625982	0.001836294	0.001877644	0.002034032	0.001980081	0.001809815	0.00183177	0.001864206	0.001950627	0.002285083	0.00231117	0.001936693	0.002028901	0.002305112	0.002141618	0.002070497	0.00207322	0.002046188	0.002363754	0.001822448	0.001893845	0.001687243	0.001899341	0.001864819	0.002038494	0.00192646	0.002179319	0.002019979	0.002035759	0.001857199	0.0019499	0.001739775	0.002168122	0.002330041	0.001884495	0.002036131	0.001896719	0.002024299	0.001876772	0.002266868	0.001960185	0.002041746
"Metabolism;Amino Acid Metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis"	0.009032051	0.008641589	0.00829767	0.009039781	0.009095412	0.008659852	0.008505057	0.008710955	0.007883593	0.009124954	0.00847461	0.008454113	0.008987899	0.010211886	0.007629066	0.008360256	0.008460845	0.008126087	0.008486141	0.008450184	0.008332256	0.00793499	0.008077032	0.008319529	0.00859665	0.009365038	0.008685022	0.008547136	0.007953072	0.008456416	0.008309967	0.008063564	0.008244102	0.008750197	0.008351786	0.009362362	0.008610714	0.007733145	0.008423326	0.008396769	0.009480112	0.008571454	0.00871986	0.007965864	0.008408645	0.008887053
Metabolism;Amino Acid Metabolism;Tryptophan metabolism	0.00141317	0.001205088	0.001428566	0.001123724	0.000845335	0.001193466	0.001203359	0.00142421	0.001267303	0.001017826	0.001235286	0.001114142	0.001100419	0.001972119	0.001432778	0.001250676	0.00129466	0.001894831	0.00126458	0.001414746	0.001544555	0.001255915	0.002815863	0.00116509	0.001190722	0.000914902	0.001201114	0.001193181	0.001330132	0.001221952	0.00156913	0.001217524	0.001209473	0.001040074	0.001091399	0.000938465	0.001366549	0.001446652	0.001173057	0.001332002	0.000989583	0.001247735	0.001324235	0.001670166	0.001243401	0.001726477
Metabolism;Amino Acid Metabolism;Tyrosine metabolism	0.003123994	0.003172671	0.003539199	0.003160623	0.002812576	0.00296029	0.003024257	0.003140381	0.003164847	0.002851717	0.003231128	0.003163493	0.003145335	0.002851835	0.003144057	0.003385695	0.003180967	0.003375321	0.003227547	0.003293847	0.003280749	0.003041782	0.003723915	0.003388262	0.003313438	0.003393531	0.003209135	0.003251509	0.003121998	0.003138537	0.003343617	0.003290001	0.003167473	0.003380782	0.003276758	0.002948765	0.003395517	0.003231802	0.003374588	0.003243288	0.003022124	0.003154425	0.003367929	0.003317907	0.003193685	0.003551793
"Metabolism;Amino Acid Metabolism;Valine, leucine and isoleucine biosynthesis"	0.007643224	0.007860574	0.007244171	0.007746428	0.007719343	0.007185189	0.007382825	0.008029727	0.006761724	0.007761481	0.008243106	0.007514226	0.007620302	0.006514982	0.006789487	0.007656297	0.007670836	0.008134609	0.007431128	0.007691132	0.007665155	0.007458083	0.007737458	0.007647565	0.00790421	0.008262869	0.007857594	0.008007205	0.007194664	0.007374898	0.008093463	0.006942061	0.007754827	0.008409341	0.007452253	0.007839786	0.007545759	0.006592169	0.007850139	0.007900304	0.009350264	0.007848736	0.008010932	0.007701494	0.007792641	0.008476678
"Metabolism;Amino Acid Metabolism;Valine, leucine and isoleucine degradation"	0.002059646	0.001756431	0.002068946	0.001540211	0.001368687	0.001526373	0.001968014	0.001973183	0.002015166	0.001667446	0.001788885	0.001755233	0.001796289	0.002285225	0.002285575	0.001943544	0.002142494	0.002566786	0.002435569	0.002297004	0.002169275	0.001881357	0.004295398	0.001660021	0.001841501	0.000930691	0.001780756	0.001909267	0.002112909	0.002133	0.002278018	0.002041559	0.002059596	0.001563986	0.001913959	0.001094315	0.002135646	0.002228433	0.001782788	0.002078273	0.001080523	0.002019307	0.001825507	0.002386008	0.001803318	0.002134973
Metabolism;Biosynthesis of Other Secondary Metabolites;Betalain biosynthesis	5.1685E-07	0	2.14882E-07	6.56842E-08	3.72838E-08	4.40334E-08	7.19218E-08	1.72376E-07	0	8.20331E-08	1.00832E-06	6.40643E-08	1.94696E-07	7.74534E-08	0	6.52459E-08	8.57959E-07	1.39368E-07	0	1.43196E-07	1.08578E-07	0	1.03623E-07	2.03213E-07	0	0	4.46085E-08	0	3.34978E-08	4.59282E-08	1.09281E-07	3.2997E-08	9.52931E-08	3.1432E-07	0	2.27303E-08	3.2383E-07	0	1.17716E-07	5.38556E-07	0	0	1.2985E-08	1.42564E-08	0	2.1154E-07
Metabolism;Biosynthesis of Other Secondary Metabolites;Butirosin and neomycin biosynthesis	0.000902264	0.000792412	0.000783442	0.000846931	0.001102518	0.000741331	0.000772134	0.000797021	0.000796441	0.000932676	0.000802937	0.0009486	0.000862946	0.000548138	0.000846008	0.000898044	0.000827758	0.000910971	0.000901027	0.000891995	0.000859646	0.000988569	0.000745363	0.000790067	0.000838252	0.000902669	0.000839814	0.001043073	0.0008078	0.000800744	0.000849442	0.000784108	0.000840771	0.000825949	0.000927328	0.000846862	0.000848991	0.000754623	0.000930195	0.000808744	0.000652477	0.000792569	0.000921376	0.000848042	0.000934372	0.000883752
Metabolism;Biosynthesis of Other Secondary Metabolites;Caffeine metabolism	6.71905E-07	8.63429E-08	8.4465E-06	3.15284E-06	5.40615E-06	1.61456E-07	1.43844E-06	4.64983E-05	4.8728E-06	7.38298E-07	1.29191E-06	1.92193E-07	2.78137E-08	1.7427E-06	0	1.08743E-07	9.86652E-06	0.000119777	6.75749E-07	2.78373E-05	1.83134E-05	1.66286E-07	5.61639E-05	1.291E-06	0	0	1.74865E-05	5.15759E-05	4.85719E-07	3.42931E-06	5.95764E-05	1.42712E-05	0	3.74767E-07	0	1.13651E-08	3.54517E-05	3.63079E-08	1.30796E-08	2.43865E-05	5.45083E-06	5.86669E-06	2.71386E-05	4.27549E-05	1.75545E-08	0.000100842
Metabolism;Biosynthesis of Other Secondary Metabolites;Clavulanic acid biosynthesis	0	0	0	0	1.49135E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism;Biosynthesis of Other Secondary Metabolites;Flavone and flavonol biosynthesis	0.000180949	8.03421E-05	6.83158E-05	9.94951E-05	0.000234291	2.15323E-05	9.69146E-05	5.57635E-05	7.86395E-05	0.00023404	0.000110821	0.000135944	0.000103022	0.000379935	0.000185835	0.000105524	0.00010021	7.53584E-05	0.000174512	0.000133229	8.7948E-05	0.000145542	7.10857E-05	0.000150222	0.000103773	4.64095E-05	0.000124101	0.000121938	6.36291E-05	8.88099E-05	5.48227E-05	0.000100954	0.000167062	0.000111705	0.000137087	8.14767E-05	0.000146988	0.000224927	9.51933E-05	9.34564E-05	4.95983E-05	0.000123012	0.000111944	8.05487E-05	0.000103308	4.65886E-05
Metabolism;Biosynthesis of Other Secondary Metabolites;Flavonoid biosynthesis	2.48088E-05	1.76571E-05	2.72734E-05	4.09212E-05	4.15714E-05	3.67679E-05	2.68628E-05	5.66254E-05	1.5518E-05	5.25012E-06	5.46068E-05	1.14675E-05	1.92192E-05	2.94323E-06	2.63148E-05	7.43368E-05	5.4223E-05	0.000138194	3.20136E-05	7.45191E-05	4.91857E-05	1.92891E-05	8.68364E-05	8.66882E-05	3.54311E-05	3.30677E-05	5.87345E-05	0.000108154	4.93926E-05	3.117E-05	6.96849E-05	1.94847E-05	5.1186E-06	6.58501E-05	1.684E-05	6.59746E-05	5.20133E-05	6.45373E-05	8.59591E-05	6.5098E-05	2.50992E-05	4.72766E-05	7.79229E-05	6.74043E-05	2.34703E-05	0.000135386
Metabolism;Biosynthesis of Other Secondary Metabolites;Indole alkaloid biosynthesis	5.1685E-07	0	8.26468E-08	3.28421E-08	3.72838E-08	4.40334E-08	7.19218E-08	8.61878E-08	0	8.20331E-08	5.0416E-07	6.40643E-08	1.94696E-07	7.74534E-08	0	6.52459E-08	5.14775E-07	9.95488E-08	0	8.59175E-08	1.08578E-07	0	1.03623E-07	1.55398E-07	0	0	4.46085E-08	0	3.34978E-08	4.59282E-08	1.09281E-07	3.2997E-08	9.52931E-08	1.5716E-07	0	2.27303E-08	2.77569E-07	0	1.17716E-07	3.53428E-07	0	0	1.2985E-08	1.42564E-08	0	1.24435E-07
Metabolism;Biosynthesis of Other Secondary Metabolites;Isoflavonoid biosynthesis	0	4.31715E-08	1.32235E-07	1.6421E-08	7.45675E-08	0	0	0	0	0	5.0416E-07	0	0	0	0	0	3.43183E-07	3.98195E-08	0	5.72783E-08	3.61926E-08	0	1.03623E-07	4.78148E-08	0	0	0	0	0	1.53094E-08	0	0	0	1.45071E-07	0	0	4.62615E-08	0	0	1.85129E-07	0	0	0	0	0	1.36879E-07
Metabolism;Biosynthesis of Other Secondary Metabolites;Isoquinoline alkaloid biosynthesis	0.000462167	0.000528591	0.000680993	0.00056935	0.000381189	0.000532569	0.000596735	0.000558971	0.000608575	0.000510861	0.000391921	0.000514564	0.000615488	0.00085586	0.000556377	0.000496956	0.0006161	0.000651766	0.000713507	0.000672848	0.000582121	0.000502183	0.000599565	0.000537318	0.000560877	0.000418343	0.000582022	0.000482644	0.000574806	0.000633366	0.000581576	0.000674822	0.000555164	0.000416124	0.000572417	0.000418896	0.000640567	0.00051372	0.00046171	0.000586673	0.000459374	0.000632899	0.000580364	0.000601991	0.0005543	0.000582432
Metabolism;Biosynthesis of Other Secondary Metabolites;Novobiocin biosynthesis	0.001281219	0.001313578	0.001498816	0.001355327	0.00121985	0.001282017	0.001337422	0.00127963	0.00135254	0.001343743	0.001234246	0.001286346	0.001394076	0.002051173	0.001242793	0.001268031	0.001354288	0.001241891	0.001408261	0.001392121	0.001294066	0.001231221	0.00125146	0.001352393	0.00133272	0.001377033	0.001360202	0.001230886	0.001235785	0.001330388	0.001254291	0.00142595	0.001331176	0.001319251	0.001321698	0.001288011	0.001442202	0.00124812	0.001251534	0.001332658	0.001417249	0.001395843	0.001380564	0.001254093	0.001303349	0.001295757
Metabolism;Biosynthesis of Other Secondary Metabolites;Penicillin and cephalosporin biosynthesis	0.000195731	0.000202604	0.000199195	0.000203621	0.000177098	0.000160076	0.000263863	0.000321394	0.00025481	0.000194583	0.000213701	0.000238383	0.000248626	0.000419978	0.000359604	0.000271879	0.000322335	0.000574357	0.000416177	0.000395106	0.00034839	0.000363501	0.000517081	0.000260973	0.000255958	7.54786E-05	0.000292082	0.000364676	0.0003122	0.000275478	0.000416761	0.000290093	0.000315611	0.000172054	0.000264085	0.000105628	0.000337894	0.000312411	0.000252776	0.000335521	5.39928E-05	0.000320661	0.000301888	0.000434107	0.000291316	0.000409877
Metabolism;Biosynthesis of Other Secondary Metabolites;Phenylpropanoid biosynthesis	0.002606783	0.00201723	0.001498551	0.001921442	0.002975058	0.001637058	0.001923548	0.001811365	0.001555098	0.003231284	0.001792225	0.002151598	0.00254901	0.001382376	0.002267344	0.002067793	0.002239015	0.001592143	0.002966961	0.001919396	0.001906444	0.002146583	0.001418398	0.002330432	0.002010011	0.001592558	0.001936247	0.002181372	0.002019919	0.00197914	0.001697335	0.00173764	0.002723299	0.001818682	0.002346903	0.002242796	0.001935966	0.002750722	0.001858009	0.001967969	0.00221503	0.002336211	0.001709941	0.001777702	0.002213917	0.001345755
"Metabolism;Biosynthesis of Other Secondary Metabolites;Stilbenoid, diarylheptanoid and gingerol biosynthesis"	3.41121E-05	1.06202E-05	2.15543E-05	1.00333E-05	5.62985E-06	3.65477E-05	2.19361E-05	8.4464E-06	6.29716E-06	6.6857E-06	2.83275E-05	6.15017E-06	1.12367E-05	5.9381E-07	1.96222E-05	3.13615E-05	3.70638E-05	1.37377E-05	2.15395E-05	2.24245E-05	3.05103E-05	1.67533E-05	4.82885E-05	2.36205E-05	1.81661E-05	8.74671E-06	1.96426E-05	3.54169E-06	4.71482E-05	2.45104E-05	7.19434E-06	1.60036E-06	4.19289E-06	1.788E-05	3.02165E-06	5.93601E-05	6.1682E-06	6.06342E-05	2.1856E-05	2.74664E-05	1.62004E-05	2.86644E-05	2.13084E-05	2.39793E-05	2.10303E-05	2.02829E-05
Metabolism;Biosynthesis of Other Secondary Metabolites;Streptomycin biosynthesis	0.003299878	0.00306988	0.003122329	0.003289117	0.003465377	0.003042926	0.003285819	0.003071819	0.002921132	0.00346795	0.003033372	0.003420327	0.003296975	0.003624498	0.003143433	0.003387956	0.003641348	0.003459201	0.003857598	0.003585107	0.003380821	0.003471007	0.003297401	0.003108342	0.003206727	0.003031613	0.003346634	0.003437699	0.00327041	0.003460632	0.003182373	0.003133298	0.003445334	0.003106199	0.003561376	0.002981474	0.003446697	0.003069923	0.003340647	0.003496628	0.002751966	0.003465943	0.003571923	0.003330395	0.003477032	0.003313735
"Metabolism;Biosynthesis of Other Secondary Metabolites;Tropane, piperidine and pyridine alkaloid biosynthesis"	0.001006565	0.001071732	0.001241669	0.001094265	0.00094712	0.001025155	0.001109753	0.001061144	0.001190913	0.001039647	0.001000946	0.00110088	0.001224385	0.002050257	0.00119321	0.001092129	0.001206633	0.001156876	0.001330043	0.001261326	0.001143794	0.001059781	0.00113105	0.001154416	0.001096757	0.001012018	0.001137368	0.001060368	0.001114758	0.001149661	0.001104813	0.001265139	0.001121858	0.001097788	0.001200602	0.000965037	0.001340781	0.001218711	0.001027756	0.001158654	0.000987487	0.001211848	0.001143796	0.001154312	0.001116833	0.001095789
Metabolism;Biosynthesis of Other Secondary Metabolites;beta-Lactam resistance	0.00023036	0.000207655	0.000247891	0.000237333	0.00014358	0.000225774	0.000293693	0.000284463	0.000278649	0.00018359	0.000195709	0.000176497	0.000249906	6.47253E-05	0.00025149	0.000187473	0.000303031	0.000437537	0.000338297	0.000353178	0.000265798	0.000161838	0.000470658	0.00028347	0.000218385	8.8461E-05	0.00028887	0.000282878	0.000254165	0.000271574	0.000275989	0.000342691	0.000227573	0.00017695	0.000199376	0.000142564	0.000240483	0.000242664	0.000148087	0.000285469	4.96913E-05	0.000285581	0.000266153	0.000296961	0.000179705	0.000347237
Metabolism;Carbohydrate Metabolism;Amino sugar and nucleotide sugar metabolism	0.014869455	0.015089204	0.015519609	0.015845021	0.015009475	0.016654197	0.015112259	0.014498335	0.015118428	0.015368658	0.014361085	0.016455996	0.015239825	0.016025063	0.015482204	0.015362985	0.01483419	0.014412374	0.015657359	0.014788746	0.015185213	0.016745766	0.013735079	0.016033915	0.015112859	0.01559595	0.015454257	0.014860084	0.01662608	0.015481877	0.014736512	0.015362175	0.016211868	0.014016769	0.016660084	0.015576649	0.015271644	0.015731646	0.015545533	0.014591952	0.012890352	0.014965818	0.0156607	0.014732965	0.016249508	0.014882194
Metabolism;Carbohydrate Metabolism;Ascorbate and aldarate metabolism	0.001086831	0.001225379	0.001640621	0.001061899	0.000967029	0.001757724	0.001298314	0.00147631	0.002021838	0.000975415	0.001125883	0.001339712	0.001262962	0.001612477	0.001913497	0.001207592	0.001001752	0.00135245	0.00116364	0.00116464	0.001399422	0.00151029	0.001357052	0.001163106	0.001093427	0.00118287	0.00099358	0.001095622	0.001570546	0.001126053	0.001410582	0.001878223	0.001264553	0.000874488	0.001313569	0.001315378	0.001116059	0.001966036	0.001186973	0.00099776	0.000338653	0.001030873	0.001095115	0.001521244	0.001286374	0.001169206
Metabolism;Carbohydrate Metabolism;Butanoate metabolism	0.00573455	0.005989048	0.006652916	0.005444822	0.005116563	0.005526687	0.005863424	0.005850857	0.006113266	0.00540873	0.00601201	0.00562811	0.00566681	0.005849941	0.005842729	0.00618161	0.005605044	0.006040242	0.005351426	0.006003111	0.006170401	0.005726591	0.007109396	0.005769604	0.00607091	0.0056217	0.005643079	0.00538166	0.005855153	0.005833178	0.006252479	0.005798632	0.006008704	0.005862789	0.005514775	0.00524109	0.006111637	0.005752677	0.006201992	0.005833257	0.005707945	0.005906691	0.005938255	0.006442112	0.005702816	0.005903432
